pacific_code,pacific_name,counterpart_code,counterpart_name,year,value_people,pct_population
SB,Solomon Islands,NO,Norway,2020,4.0,0.0005
SB,Solomon Islands,FI,Finland,2020,2.0,0.0003
SB,Solomon Islands,SK,Slovakia,2020,2.0,0.0003
SB,Solomon Islands,BO,Bolivia (Plurinational State of),2020,1.0,0.0001
SB,Solomon Islands,DK,Denmark,2020,1.0,0.0001
SB,Solomon Islands,AU,Australia,2024,7161.0,0.8741
SB,Solomon Islands,FJ,Fiji,2024,732.0,0.0894
SB,Solomon Islands,PG,Papua New Guinea,2024,221.0,0.027
SB,Solomon Islands,VU,Vanuatu,2024,124.0,0.0151
SB,Solomon Islands,NR,Nauru,2024,85.0,0.0104
SB,Solomon Islands,GN,Guinea,2024,10.0,0.0012
SB,Solomon Islands,WS,Samoa,2024,8.0,0.001
SB,Solomon Islands,NO,Norway,2024,4.0,0.0005
SB,Solomon Islands,DK,Denmark,2024,2.0,0.0002
SB,Solomon Islands,FI,Finland,2024,2.0,0.0002
SB,Solomon Islands,SK,Slovakia,2024,2.0,0.0002
SB,Solomon Islands,BO,Bolivia (Plurinational State of),2024,1.0,0.0001
TO,Tonga,NZ,New Zealand,2010,21722.0,20.2253
TO,Tonga,AU,Australia,2010,10092.0,9.3966
TO,Tonga,FJ,Fiji,2010,1293.0,1.2039
TO,Tonga,AS,American Samoa,2010,1291.0,1.202
TO,Tonga,WS,Samoa,2010,80.0,0.0745
TO,Tonga,NU,Niue,2010,49.0,0.0456
TO,Tonga,VU,Vanuatu,2010,29.0,0.027
TO,Tonga,PG,Papua New Guinea,2010,27.0,0.0251
TO,Tonga,FM,Micronesia (Fed. States of),2010,15.0,0.014
TO,Tonga,DK,Denmark,2010,11.0,0.0102
TO,Tonga,NO,Norway,2010,5.0,0.0047
TO,Tonga,BG,Bulgaria,2010,2.0,0.0019
TO,Tonga,EE,Estonia,2010,1.0,0.0009
TO,Tonga,FI,Finland,2010,1.0,0.0009
TO,Tonga,IS,Iceland,2010,1.0,0.0009
TO,Tonga,NZ,New Zealand,2015,24561.0,23.15
TO,Tonga,AU,Australia,2015,11862.0,11.1805
TO,Tonga,FJ,Fiji,2015,1332.0,1.2555
TO,Tonga,AS,American Samoa,2015,1288.0,1.214
TO,Tonga,GN,Guinea,2015,972.0,0.9162
TO,Tonga,WS,Samoa,2015,65.0,0.0613
TO,Tonga,NU,Niue,2015,48.0,0.0452
TO,Tonga,VU,Vanuatu,2015,30.0,0.0283
TO,Tonga,PG,Papua New Guinea,2015,27.0,0.0254
TO,Tonga,DK,Denmark,2015,20.0,0.0189
TO,Tonga,FM,Micronesia (Fed. States of),2015,18.0,0.017
TO,Tonga,NO,Norway,2015,5.0,0.0047
TO,Tonga,FI,Finland,2015,2.0,0.0019
TO,Tonga,BG,Bulgaria,2015,1.0,0.0009
TO,Tonga,EE,Estonia,2015,1.0,0.0009
TO,Tonga,IS,Iceland,2015,1.0,0.0009
TO,Tonga,NZ,New Zealand,2020,28005.0,26.4938
TO,Tonga,AU,Australia,2020,15295.0,14.4697
TO,Tonga,FJ,Fiji,2020,1362.0,1.2885
TO,Tonga,AS,American Samoa,2020,1292.0,1.2223
TO,Tonga,GN,Guinea,2020,932.0,0.8817
TO,Tonga,WS,Samoa,2020,60.0,0.0568
TO,Tonga,NU,Niue,2020,47.0,0.0445
TO,Tonga,VU,Vanuatu,2020,30.0,0.0284
TO,Tonga,PG,Papua New Guinea,2020,26.0,0.0246
TO,Tonga,DK,Denmark,2020,20.0,0.0189
TO,Tonga,FM,Micronesia (Fed. States of),2020,17.0,0.0161
